NAME,OUTLET TYPE,STREET ADDRESS,PHONE NUMBER,PAYMENTS ACCEPTED,FARE MEDIA AVAILABLE,LAT,LON,CITY,Location,Boundaries - ZIP Codes,Community Areas,Zip Codes,Census Tracts,Wards,:@computed_region_awaf_s7ux
112th & Vincennes Currency,Currency Exchange,11207 S. Vincennes,773-239-1700,Varies,"Purchase Chicago Cards, Transit Cards and Passes.",41.689846,-87.664797,Chicago,"{'latitude': '41.699751422000475', 'longitude': '-87.66459754499965', 'human_address': '{""address"": ""11207 Vincennes"", ""city"": ""Chicago"", ""state"": ""IL"", ""zip"": ""60643""}'}",13,71,22212,630,42,33
115th & Michigan Currency,Currency Exchange,100 E. 115th Street,773-264-0601,Varies,Purchase Transit Cards and Passes.,41.685347,-87.620667,Chicago,"{'latitude': '41.6853269930005', 'longitude': '-87.62546000099968', 'human_address': '{""address"": ""100 115th Street"", ""city"": ""Chicago"", ""state"": ""IL"", ""zip"": ""60628""}'}",19,45,21861,660,22,45
119th & Halsted Currency,Currency Exchange,11932 S. Halsted Street,773-785-3141,Varies,Purchase Transit Cards and Passes.,41.676819,-87.641875,Chicago,"{'latitude': '41.676810412000464', 'longitude': '-87.64194023499965', 'human_address': '{""address"": ""11932 Halsted Street"", ""city"": ""Chicago"", ""state"": ""IL"", ""zip"": ""60628""}'}",13,50,21861,662,22,45
12 Check Agencies,Currency Exchange,600 S. Pulaski Road,773-533-2927,Varies,Purchase Transit Cards and Passes.,41.873421,-87.725412,Chicago,"{'latitude': '41.89206021700045', 'longitude': '-87.72598079899967', 'human_address': '{""address"": ""600 Pulaski Road"", ""city"": ""Chicago"", ""state"": ""IL"", ""zip"": ""60624""}'}",30,24,21572,584,45,41
141 Jackson Currency (Board of Trade),Currency Exchange,141 W. Jackson Blvd.,312-939-2167,Varies,Purchase Transit Cards and Passes.,41.878135,-87.632064,Chicago,"{'latitude': '41.878140646000475', 'longitude': '-87.63229102299965', 'human_address': '{""address"": ""141 Jackson Blvd"", ""city"": ""Chicago"", ""state"": ""IL"", ""zip"": ""60604""}'}",29,38,14912,92,36,22
141 W Jackson Blvd C E  10136,Ventra Retail Location,141 W Jackson Blvd.,,Varies,Varies,41.8780574,-87.6322115,Chicago,"{'latitude': '41.878140646000475', 'longitude': '-87.63229102299965', 'human_address': '{""address"": ""141 Jackson Blvd"", ""city"": ""Chicago"", ""state"": """", ""zip"": ""60604""}'}",29,38,14912,92,36,22
147th & Cicero C E,Ventra Retail Location,14655 South Cicero Ave,,Varies,Varies,41.6261803,-87.7372955,Midlothian,"{'latitude': '41.62569787400048', 'longitude': '-87.73725440599969', 'human_address': '{""address"": ""14655 Cicero Ave"", ""city"": ""Midlothian"", ""state"": """", ""zip"": ""60445""}'}",,,9719,,,
147th & Cicero Currency,Currency Exchange,14655 S. Cicero Avenue,708-385-2233,Varies,Purchase Transit Cards and Passes.,41.626085,-87.737317,Midlothian,"{'latitude': '41.62569787400048', 'longitude': '-87.73725440599969', 'human_address': '{""address"": ""14655 Cicero Avenue"", ""city"": ""Midlothian"", ""state"": ""IL"", ""zip"": ""60445""}'}",,,9719,,,
147th & Dixie Highway C E,Ventra Retail Location,14725 South Dixie Highway,,Varies,Varies,41.621691,-87.674016,Harvey,"{'latitude': '41.621670244000484', 'longitude': '-87.67437007099966', 'human_address': '{""address"": ""14725 Dixie Highway"", ""city"": ""Harvey"", ""state"": """", ""zip"": ""60426""}'}",,,9293,,,
147th & Halsted C E,Ventra Retail Location,14701 South Halsted,,Varies,Varies,41.622338,-87.641065,Harvey,"{'latitude': '41.62230054200046', 'longitude': '-87.64138022699967', 'human_address': '{""address"": ""14701 Halsted"", ""city"": ""Harvey"", ""state"": """", ""zip"": ""60426""}'}",,,9293,,,
147th & Halsted Currency,Currency Exchange,14701 S. Halsted,708-596-0328,Varies,Purchase Transit Cards and Passes.,41.622556,-87.64138,Harvey,"{'latitude': '41.62230054200046', 'longitude': '-87.64138022699967', 'human_address': '{""address"": ""14701 Halsted"", ""city"": ""Harvey"", ""state"": ""IL"", ""zip"": ""60426""}'}",,,9293,,,
147th & Pulaski C E,Ventra Retail Location,14755 South Pulaski Ave,,Varies,Varies,41.6238713,-87.7174067,Midlothian,"{'latitude': '41.623880321000456', 'longitude': '-87.71765094899968', 'human_address': '{""address"": ""14755 Pulaski Ave"", ""city"": ""Midlothian"", ""state"": """", ""zip"": ""60445""}'}",,,9719,,,
154th & Park C E,Ventra Retail Location,206 East 154th Street,,Varies,Varies,41.6099323,-87.6438896,Harvey,"{'latitude': '41.609890461000475', 'longitude': '-87.66825029899968', 'human_address': '{""address"": ""206 154th Street"", ""city"": ""Harvey"", ""state"": """", ""zip"": ""60426""}'}",,,9293,,,
157th & Dixie Highway C E,Ventra Retail Location,15652 South Dixie Highway,,Varies,Varies,41.604858,-87.669781,Markham,"{'latitude': '41.60495582100049', 'longitude': '-87.66942534599968', 'human_address': '{""address"": ""15652 Dixie Highway"", ""city"": ""Markham"", ""state"": """", ""zip"": ""60426""}'}",,,9293,,,
159th & Halsted C E,Ventra Retail Location,362 East 159th Street,,Varies,Varies,41.600605,-87.635395,harvey,"{'latitude': '41.60087375600045', 'longitude': '-87.63568734299969', 'human_address': '{""address"": ""362 159th Street"", ""city"": ""harvey"", ""state"": """", ""zip"": ""60426""}'}",,,9293,,,
159th & Kedzie C E,Ventra Retail Location,3200 West 159th Street,,Varies,Varies,41.6008529,-87.6942183,Markham,"{'latitude': '41.6003826110005', 'longitude': '-87.67775801499965', 'human_address': '{""address"": ""3200 159th Street"", ""city"": ""Markham"", ""state"": """", ""zip"": ""60426""}'}",,,9296,,,
159th & Kedzie Currency,Currency Exchange,3200 W. 159th Street,708-331-2711,Varies,Purchase Transit Cards and Passes.,41.60078,-87.694646,Markham,"{'latitude': '41.60080814800045', 'longitude': '-87.69472841099969', 'human_address': '{""address"": ""3200 159th Street"", ""city"": ""Markham"", ""state"": ""IL"", ""zip"": ""60428""}'}",,,9296,,,
167th & Halsted C E,Ventra Retail Location,16835 South Halsted,,Varies,Varies,41.585023,-87.635699,Harvey,"{'latitude': '41.58502075100046', 'longitude': '-87.63640006199967', 'human_address': '{""address"": ""16835 Halsted"", ""city"": ""Harvey"", ""state"": """", ""zip"": ""60426""}'}",,,9293,,,
183rd & Pulaski C E   ,Ventra Retail Location,4035 West 183rd Street,,Varies,Varies,41.5570588,-87.7145466,Country Club Hills,"{'latitude': '41.55710326900049', 'longitude': '-87.71525750899968', 'human_address': '{""address"": ""4035 183rd Street"", ""city"": ""Country Club Hills"", ""state"": """", ""zip"": ""60478""}'}",,,2714,,,
18th & Ashland C E,Ventra Retail Location,1804 South Ashland Avenue,,Varies,Varies,41.8575012,-87.6663621,Chicago,"{'latitude': '41.857520553000484', 'longitude': '-87.66616005899965', 'human_address': '{""address"": ""1804 Ashland Avenue"", ""city"": ""Chicago"", ""state"": """", ""zip"": ""60608""}'}",43,33,14920,343,26,8
18th & Ashland Currency,Currency Exchange,1804 S. Ashland Avenue,312-829-9141,Varies,Purchase Transit Cards and Passes.,41.857622,-87.666137,Chicago,"{'latitude': '41.857520553000484', 'longitude': '-87.66616005899965', 'human_address': '{""address"": ""1804 Ashland Avenue"", ""city"": ""Chicago"", ""state"": ""IL"", ""zip"": ""60608""}'}",43,33,14920,343,26,8
18th & Blue Island Currency,Currency Exchange,1825 S. Blue Island,312-666-9670,Varies,"Purchase Chicago Cards, Transit Cards and Passes.",41.857223,-87.661709,Chicago,"{'latitude': '41.852243736000446', 'longitude': '-87.66731751799966', 'human_address': '{""address"": ""1825 Blue Island"", ""city"": ""Chicago"", ""state"": ""IL"", ""zip"": ""60608""}'}",43,33,14920,126,26,8
18th Rail Station,CTA Rail Station,1710 W. 18th Street,1-888-YOURCTA,Cash,Purchase new Transit Cards and add value to Transit Cards and Chicago Cards.,41.857908,-87.669147,Chicago,"{'latitude': '41.857783905000474', 'longitude': '-87.66898345299967', 'human_address': '{""address"": ""1710 18th Street"", ""city"": ""Chicago"", ""state"": ""IL"", ""zip"": ""60608""}'}",43,33,14920,343,26,8
1 Jackpot Mini Mart,Ventra Retail Location,535 W. 111th Street,,Varies,Varies,41.6924088,-87.6366018,Chicago,"{'latitude': '41.69240213100045', 'longitude': '-87.63650185899968', 'human_address': '{""address"": ""535 111th Street"", ""city"": ""Chicago"", ""state"": """", ""zip"": ""60628""}'}",19,45,21861,486,22,45
21st & Ashland C E Inc  D,Ventra Retail Location,2023 South Ashland,,Varies,Varies,41.854309,-87.665544,Chicago,"{'latitude': '41.852243736000446', 'longitude': '-87.66731751799966', 'human_address': '{""address"": ""2023 Ashland"", ""city"": ""Chicago"", ""state"": """", ""zip"": ""60608""}'}",43,33,14920,126,26,8
26th & Central Park C E,Ventra Retail Location,3540 West 26th Street,,Varies,Varies,41.8444125,-87.7139714,Chicago,"{'latitude': '41.84443659900046', 'longitude': '-87.71402018999964', 'human_address': '{""address"": ""3540 26th Street"", ""city"": ""Chicago"", ""state"": """", ""zip"": ""60623""}'}",57,32,21569,755,28,14
26th & Central Park Currency,Currency Exchange,3540 W. 26th Street,773-762-8330,Varies,Purchase Transit Cards and Passes.,41.844396,-87.713966,Chicago,"{'latitude': '41.84443659900046', 'longitude': '-87.71402018999964', 'human_address': '{""address"": ""3540 26th Street"", ""city"": ""Chicago"", ""state"": ""IL"", ""zip"": ""60623""}'}",57,32,21569,755,28,14
26th & Kedzie C E,Ventra Retail Location,3221 West 26th Street,,Varies,Varies,41.844248,-87.705881,Chicago ,"{'latitude': '41.844489876000466', 'longitude': '-87.70578238399969', 'human_address': '{""address"": ""3221 26th Street"", ""city"": ""Chicago"", ""state"": """", ""zip"": ""60623""}'}",57,32,21569,146,1,14
26th & Kedzie Currency,Currency Exchange,3221 W. 26th Street,773-247-2074,Varies,Purchase Transit Cards and Passes.,41.844507,-87.705785,Chicago,"{'latitude': '41.844489876000466', 'longitude': '-87.70578238399969', 'human_address': '{""address"": ""3221 26th Street"", ""city"": ""Chicago"", ""state"": ""IL"", ""zip"": ""60623""}'}",57,32,21569,146,1,14
26th & Pulaski Currency,Currency Exchange,4004 W. 26th Street,773-522-2525,Varies,"Purchase Chicago Cards, Transit Cards, and Passes AND add value to Chicago Cards using Touch-n-Go.",41.844254,-87.724781,Chicago,"{'latitude': '41.84430425900047', 'longitude': '-87.72474292599969', 'human_address': '{""address"": ""4004 26th Street"", ""city"": ""Chicago"", ""state"": ""IL"", ""zip"": ""60623""}'}",57,32,21569,194,28,14
2934 W. Grand Avenue Currency,Currency Exchange,2934 W. Grand Avenue,773-278-2155,Varies,Purchase Transit Cards and Passes.,41.895882,-87.700543,Chicago,"{'latitude': '41.89584085500047', 'longitude': '-87.70039091199965', 'human_address': '{""address"": ""2934 Grand Avenue"", ""city"": ""Chicago"", ""state"": ""IL"", ""zip"": ""60622""}'}",4,25,21560,544,49,10
31st & Morgan Check Cashers,Ventra Retail Location,906 West 31st Street,,Varies,Varies,41.8381001,-87.649117,Chicago,"{'latitude': '41.838043696000454', 'longitude': '-87.64900127599964', 'human_address': '{""address"": ""906 31st Street"", ""city"": ""Chicago"", ""state"": """", ""zip"": ""60608""}'}",43,58,14920,59,48,26
31st & Morgan Currency,Currency Exchange,906 W. 31st Street,312-225-7591,Varies,Purchase Transit Cards and Passes.,41.838008,-87.64912,Chicago,"{'latitude': '41.838043696000454', 'longitude': '-87.64900127599964', 'human_address': '{""address"": ""906 31st Street"", ""city"": ""Chicago"", ""state"": ""IL"", ""zip"": ""60608""}'}",43,58,14920,59,48,26
31st & Wallace C E,Ventra Retail Location,3101 South Wallace,,Varies,Varies,41.8378364,-87.6413429,Chicago ,"{'latitude': '41.8460738280005', 'longitude': '-87.62909884999965', 'human_address': '{""address"": ""3101 Wallace"", ""city"": ""Chicago"", ""state"": """", ""zip"": ""60616""}'}",40,34,21194,193,9,12
"31st & Wallace Check Cashiers, Inc.",Currency Exchange,3101 S. Wallace,312-225-7885,Varies,"Purchase Chicago Cards, Transit Cards and Passes.",41.838016,-87.641413,Chicago,"{'latitude': '41.8460738280005', 'longitude': '-87.62909884999965', 'human_address': '{""address"": ""3101 Wallace"", ""city"": ""Chicago"", ""state"": ""IL"", ""zip"": ""60616""}'}",40,34,21194,193,9,12
35-Bronzeville-IIT Rail Station,CTA Rail Station,16 E. 35th Street,1-888-YOURCTA,Cash,Purchase new Transit Cards and add value to Transit Cards and Chicago Cards.,41.831677,-87.625826,Chicago,"{'latitude': '41.83103106300047', 'longitude': '-87.62689766099965', 'human_address': '{""address"": ""16 35th Street"", ""city"": ""Chicago"", ""state"": ""IL"", ""zip"": ""60616""}'}",40,1,21194,25,9,12
35th/Archer Rail Station,CTA Rail Station,3528 S. Leavitt Street,1-888-YOURCTA,Cash,Purchase new Transit Cards and add value to Transit Cards and Chicago Cards.,41.829353,-87.680622,Chicago,"{'latitude': '41.82909337400048', 'longitude': '-87.68014039799965', 'human_address': '{""address"": ""3528 Leavitt Street"", ""city"": ""Chicago"", ""state"": ""IL"", ""zip"": ""60609""}'}",37,56,14924,719,1,26
35th & Ashland C E,Ventra Retail Location,1556 W. 35th Street,773-523-9266,Varies,Varies,41.8304814,-87.6653659,Chicago ,"{'latitude': '41.83053214200049', 'longitude': '-87.66471318999965', 'human_address': '{""address"": ""1556 35th Street"", ""city"": ""Chicago"", ""state"": """", ""zip"": ""60609""}'}",43,56,14924,192,1,26
35th & Ashland Currency,Currency Exchange,1556 W. 35th Street,773-523-9266,Varies,Purchase Transit Cards and Passes.,41.830503,-87.665417,Chicago,"{'latitude': '41.83053214200049', 'longitude': '-87.66471318999965', 'human_address': '{""address"": ""1556 35th Street"", ""city"": ""Chicago"", ""state"": ""IL"", ""zip"": ""60609""}'}",43,56,14924,192,1,26
35th & Indiana Currency,Currency Exchange,126 E. 35th Street,312-225-6722,Varies,Purchase Transit Cards and Passes.,41.831056,-87.622018,Chicago,"{'latitude': '41.81843090300049', 'longitude': '-87.61270948899966', 'human_address': '{""address"": ""126 35th Street"", ""city"": ""Chicago"", ""state"": ""IL"", ""zip"": ""60653""}'}",36,4,4301,583,10,1
3600 Commissary,Food Store,3600 N. Lake Shore Drive,773-327-5102,Varies,Purchase Transit Cards and Passes.,41.948855,-87.643128,Chicago,"{'latitude': '41.949039849000485', 'longitude': '-87.64364513899966', 'human_address': '{""address"": ""3600 Lake Shore Drive"", ""city"": ""Chicago"", ""state"": ""IL"", ""zip"": ""60613""}'}",53,57,21186,726,39,37
3600 Commissary,Ventra Retail Location,3600 N. Lake Shore Drive,773-327-5102,Varies,Varies,41.948854,-87.643496,Chicago,"{'latitude': '41.949039849000485', 'longitude': '-87.64364513899966', 'human_address': '{""address"": ""3600 Lake Shore Drive"", ""city"": ""Chicago"", ""state"": """", ""zip"": ""60613""}'}",53,57,21186,726,39,37
39th & Cottage Grove Currency,Currency Exchange,3960 S. Cottage Grove Avenue,773-924-1500,Varies,"Purchase Chicago Cards, Transit Cards and Passes.",41.822238,-87.606849,Chicago,"{'latitude': '41.82219042300045', 'longitude': '-87.60684056199966', 'human_address': '{""address"": ""3960 Cottage Grove Avenue"", ""city"": ""Chicago"", ""state"": ""IL"", ""zip"": ""60653""}'}",36,2,4301,220,10,1
43rd & Ashland Currency,Currency Exchange,4303 S. Ashland,773-247-4422,Varies,"Purchase Chicago Cards, Transit Cards and Passes.",41.815729,-87.665145,Chicago,"{'latitude': '41.81387299200048', 'longitude': '-87.65534702799965', 'human_address': '{""address"": ""4303 Ashland"", ""city"": ""Chicago"", ""state"": ""IL"", ""zip"": ""60609""}'}",37,59,14924,123,48,26
"43rd & Ashland Currency Exchange, Inc.",Ventra Retail Location,4303 S. Ashland,773-247-4422,Varies,Varies,41.816001,-87.66503,Chicago,"{'latitude': '41.81387299200048', 'longitude': '-87.65534702799965', 'human_address': '{""address"": ""4303 Ashland"", ""city"": ""Chicago"", ""state"": """", ""zip"": ""60609""}'}",37,59,14924,123,48,26
"43rd & Pulaski Currency Exchange, Inc.",Ventra Retail Location,4328 S Pulaski,,Varies,Varies,41.814546,-87.724038,Chicago,"{'latitude': '41.80875023100049', 'longitude': '-87.70980732699968', 'human_address': '{""address"": ""4328 Pulaski"", ""city"": ""Chicago"", ""state"": """", ""zip"": ""60632""}'}",56,55,22248,640,8,49
43rd Rail Station,CTA Rail Station,314 E. 43rd Street,1-888-YOURCTA,Cash,Purchase new Transit Cards and add value to Transit Cards and Chicago Cards.,41.816462,-87.619021,Chicago,"{'latitude': '41.81664040300046', 'longitude': '-87.61901061699967', 'human_address': '{""address"": ""314 43rd Street"", ""city"": ""Chicago"", ""state"": ""IL"", ""zip"": ""60653""}'}",36,4,4301,163,9,12
47th & Calumet C E,Ventra Retail Location,310 East 47th Street,,Varies,Varies,41.8094384,-87.6190404,Chicago,"{'latitude': '41.8093916950005', 'longitude': '-87.61914168899966', 'human_address': '{""address"": ""310 47th Street"", ""city"": ""Chicago"", ""state"": """", ""zip"": ""60653""}'}",36,4,4301,448,9,12
47th & Calumet Currency,Currency Exchange,310 E. 47th Street,773-268-9494,Varies,"Purchase Chicago Cards, Transit Cards and Passes.",41.809344,-87.619089,Chicago,"{'latitude': '41.80229355300048', 'longitude': '-87.59993951799964', 'human_address': '{""address"": ""310 47th Street"", ""city"": ""Chicago"", ""state"": ""IL"", ""zip"": ""60615""}'}",10,8,21192,147,33,1
"47th & Damen Currency, Inc.",Currency Exchange,2001 W. 47th Street,773-247-5261,Varies,"Purchase Chicago Cards, Transit Cards and Passes.",41.808509,-87.674816,Chicago,"{'latitude': '41.80853011500045', 'longitude': '-87.67483098399964', 'human_address': '{""address"": ""2001 47th Street"", ""city"": ""Chicago"", ""state"": ""IL"", ""zip"": ""60609""}'}",37,59,14924,706,3,29
47th-Dan Ryan Rail Station,CTA Rail Station,220 W. 47th Street,1-888-YOURCTA,Cash,Purchase new Transit Cards and add value to Transit Cards and Chicago Cards.,41.810318,-87.63094,Chicago,"{'latitude': '41.80916080500049', 'longitude': '-87.63157846799965', 'human_address': '{""address"": ""220 47th Street"", ""city"": ""Chicago"", ""state"": ""IL"", ""zip"": ""60609""}'}",37,3,14924,189,9,12
47th & Halsted Check Cashers,Ventra Retail Location,4651 South Halsted Street,,Varies,Varies,41.809197,-87.645167,Chicago ,"{'latitude': '41.809153798000466', 'longitude': '-87.64550662399967', 'human_address': '{""address"": ""4651 Halsted Street"", ""city"": ""Chicago"", ""state"": """", ""zip"": ""60609""}'}",37,59,14924,123,48,26
"47th Halsted Check Cashiers, Inc.",Currency Exchange,4651 S. Halsted Street,773-373-0416,Varies,Purchase Transit Cards and Passes.,41.809182,-87.645549,Chicago,"{'latitude': '41.809153798000466', 'longitude': '-87.64550662399967', 'human_address': '{""address"": ""4651 Halsted Street"", ""city"": ""Chicago"", ""state"": ""IL"", ""zip"": ""60609""}'}",37,59,14924,123,48,26
47th & King Drive C E,Ventra Retail Location,432 East 47th Street,,Varies,Varies,41.8095166,-87.6150104,Chicago ,"{'latitude': '41.80944018700046', 'longitude': '-87.61497327999967', 'human_address': '{""address"": ""432 47th Street"", ""city"": ""Chicago"", ""state"": """", ""zip"": ""60653""}'}",36,4,4301,447,9,12
47th & King Drive Currency,Currency Exchange,432 E. 47th Street,773-268-4363,Varies,Purchase Transit Cards and Passes.,41.809408,-87.614974,Chicago,"{'latitude': '41.80229355300048', 'longitude': '-87.59993951799964', 'human_address': '{""address"": ""432 47th Street"", ""city"": ""Chicago"", ""state"": ""IL"", ""zip"": ""60615""}'}",10,8,21192,147,33,1
47th & Lake Park Currency,Currency Exchange,1400 E. 47th Drive,773-536-6231,Varies,Purchase Transit Cards and Passes.,41.809686,-87.592374,Chicago,"{'latitude': '41.81843090300049', 'longitude': '-87.61270948899966', 'human_address': '{""address"": ""1400 47th Drive"", ""city"": ""Chicago"", ""state"": ""IL"", ""zip"": ""60653""}'}",36,4,4301,583,10,1
47th & Michigan C E,Ventra Retail Location,4700 South Michigan Avenue,,Varies,Varies,41.80898,-87.623292,Chicago ,"{'latitude': '41.80898065700046', 'longitude': '-87.62283078499968', 'human_address': '{""address"": ""4700 Michigan Avenue"", ""city"": ""Chicago"", ""state"": """", ""zip"": ""60615""}'}",10,4,21192,448,9,12
47th & Michigan Currency,Currency Exchange,4700 S. Michigan Avenue,773-924-2500,Varies,Purchase Transit Cards and Passes.,41.809196,-87.622833,Chicago,"{'latitude': '41.80898065700046', 'longitude': '-87.62283078499968', 'human_address': '{""address"": ""4700 Michigan Avenue"", ""city"": ""Chicago"", ""state"": ""IL"", ""zip"": ""60615""}'}",10,4,21192,448,9,12
47th-South Elevated Rail Station,CTA Rail Station,314 E. 47th Street,1-888-YOURCTA,Cash,Purchase new Transit Cards and add value to Transit Cards and Chicago Cards.,41.809209,-87.618826,Chicago,"{'latitude': '41.80229355300048', 'longitude': '-87.59993951799964', 'human_address': '{""address"": ""314 47th Street"", ""city"": ""Chicago"", ""state"": ""IL"", ""zip"": ""60615""}'}",10,8,21192,147,33,1
51st & Kedzie C E,Ventra Retail Location,5100 South Kedzie,,Varies,Varies,41.8007068,-87.7038991,Chicago,"{'latitude': '41.80875023100049', 'longitude': '-87.70980732699968', 'human_address': '{""address"": ""5100 Kedzie"", ""city"": ""Chicago"", ""state"": """", ""zip"": ""60632""}'}",56,55,22248,640,8,49
51st Rail Station,CTA Rail Station,314 E. 51st Street,1-888-YOURCTA,Cash,Purchase new Transit Cards and add value to Transit Cards and Chicago Cards.,41.80209,-87.618487,Chicago,"{'latitude': '41.8021165020005', 'longitude': '-87.61883931499966', 'human_address': '{""address"": ""314 51st Street"", ""city"": ""Chicago"", ""state"": ""IL"", ""zip"": ""60615""}'}",10,4,21192,449,9,12
54th/Cermak Rail Station,CTA Rail Station,2134 S. 54th Avenue,1-888-YOURCTA,"Cash, Credit, Debit",Purchase new Transit Cards and add value to Transit Cards and Chicago Cards.,41.851663,-87.759598,Cicero,"{'latitude': '41.85141230500045', 'longitude': '-87.75899984799969', 'human_address': '{""address"": ""2134 54th Avenue"", ""city"": ""Cicero"", ""state"": ""IL"", ""zip"": ""60804""}'}",,,4458,,,
55th & California Currency,Currency Exchange,5453 S. California,773-776-6800,Varies,"Purchase Chicago Cards, Transit Cards and Passes.",41.793952,-87.693805,Chicago,"{'latitude': '41.80875023100049', 'longitude': '-87.70980732699968', 'human_address': '{""address"": ""5453 California"", ""city"": ""Chicago"", ""state"": ""IL"", ""zip"": ""60632""}'}",56,55,22248,640,8,49
"55th & California Currency Exchange, Inc.",Ventra Retail Location,5453 S California,,Varies,Varies,41.794296,-87.693783,Chicago,"{'latitude': '41.7778224810005', 'longitude': '-87.70800849499966', 'human_address': '{""address"": ""5453 California"", ""city"": ""Chicago"", ""state"": """", ""zip"": ""60629""}'}",58,64,21867,293,6,44
55th & Pulaski Currency,Currency Exchange,5501 S. Pulaski,773-735-4300,Varies,"Purchase Chicago Cards, Transit Cards and Passes.",41.793158,-87.723157,Chicago,"{'latitude': '41.7778224810005', 'longitude': '-87.70800849499966', 'human_address': '{""address"": ""5501 Pulaski"", ""city"": ""Chicago"", ""state"": ""IL"", ""zip"": ""60629""}'}",58,64,21867,293,6,44
"55th & Pulaski Currency Exchange, Inc",Ventra Retail Location,5501 S Pulaski,,Varies,Varies,41.793241,-87.722965,Chicago,"{'latitude': '41.7778224810005', 'longitude': '-87.70800849499966', 'human_address': '{""address"": ""5501 Pulaski"", ""city"": ""Chicago"", ""state"": """", ""zip"": ""60629""}'}",58,64,21867,293,6,44
55th & Racine Currency,Currency Exchange,756 West Garfield Blvd,773-436-0717,Varies,"Purchase Chicago Cards, Transit Cards and Passes.",41.793729,-87.654863,Chicago,"{'latitude': '41.79350089600047', 'longitude': '-87.65486077799966', 'human_address': '{""address"": ""5500 Racine Avenue"", ""city"": ""Chicago"", ""state"": ""IL"", ""zip"": ""60636""}'}",23,65,22257,297,2,19
